Model,Test Row Index,Subject ID,True Class,Predicted Class,SVM score true,SVM score predicted
k-NN,6,16,STANDING,SITTING,,
k-NN,10,16,STANDING,SITTING,,
k-NN,12,16,STANDING,SITTING,,
k-NN,37,16,SITTING,STANDING,,
k-NN,38,16,SITTING,STANDING,,
k-NN,39,16,SITTING,STANDING,,
k-NN,41,16,SITTING,STANDING,,
k-NN,42,16,SITTING,STANDING,,
k-NN,45,16,SITTING,STANDING,,
k-NN,48,16,SITTING,STANDING,,
k-NN,54,16,SITTING,STANDING,,
k-NN,55,16,SITTING,STANDING,,
k-NN,56,16,SITTING,STANDING,,
k-NN,58,16,SITTING,STANDING,,
k-NN,60,16,SITTING,STANDING,,
k-NN,62,16,SITTING,STANDING,,
k-NN,65,16,SITTING,STANDING,,
k-NN,102,16,WALKING,WALKING_UPSTAIRS,,
k-NN,114,16,WALKING,WALKING_UPSTAIRS,,
k-NN,179,16,STANDING,SITTING,,
k-NN,181,16,STANDING,SITTING,,
k-NN,182,16,STANDING,SITTING,,
k-NN,183,16,STANDING,SITTING,,
k-NN,184,16,STANDING,SITTING,,
k-NN,185,16,STANDING,SITTING,,
k-NN,190,16,STANDING,SITTING,,
k-NN,196,16,STANDING,SITTING,,
k-NN,197,16,STANDING,SITTING,,
k-NN,198,16,STANDING,SITTING,,
k-NN,199,16,STANDING,SITTING,,
k-NN,200,16,STANDING,SITTING,,
k-NN,201,16,STANDING,SITTING,,
k-NN,202,16,STANDING,SITTING,,
k-NN,203,16,STANDING,SITTING,,
k-NN,205,16,STANDING,SITTING,,
k-NN,206,16,STANDING,SITTING,,
k-NN,210,16,STANDING,SITTING,,
k-NN,215,16,STANDING,SITTING,,
k-NN,218,16,STANDING,SITTING,,
k-NN,219,16,STANDING,SITTING,,
k-NN,220,16,STANDING,SITTING,,
k-NN,221,16,SITTING,STANDING,,
k-NN,222,16,SITTING,STANDING,,
k-NN,226,16,SITTING,STANDING,,
k-NN,227,16,SITTING,STANDING,,
k-NN,238,16,SITTING,STANDING,,
k-NN,249,16,SITTING,STANDING,,
k-NN,250,16,SITTING,STANDING,,
k-NN,260,16,LAYING,SITTING,,
k-NN,261,16,LAYING,SITTING,,
k-NN,262,16,LAYING,SITTING,,
k-NN,290,16,LAYING,SITTING,,
k-NN,298,16,WALKING,WALKING_UPSTAIRS,,
k-NN,299,16,WALKING,WALKING_UPSTAIRS,,
k-NN,301,16,WALKING,WALKING_UPSTAIRS,,
k-NN,306,16,WALKING,WALKING_UPSTAIRS,,
k-NN,307,16,WALKING,WALKING_UPSTAIRS,,
k-NN,308,16,WALKING,WALKING_UPSTAIRS,,
k-NN,312,16,WALKING,WALKING_UPSTAIRS,,
k-NN,344,16,WALKING_UPSTAIRS,WALKING,,
k-NN,346,16,WALKING_UPSTAIRS,WALKING,,
k-NN,347,16,WALKING_UPSTAIRS,WALKING,,
k-NN,355,16,WALKING_UPSTAIRS,WALKING,,
k-NN,356,16,WALKING_UPSTAIRS,WALKING,,
k-NN,357,16,WALKING_UPSTAIRS,WALKING,,
k-NN,362,16,WALKING_UPSTAIRS,WALKING,,
k-NN,363,16,WALKING_UPSTAIRS,WALKING,,
k-NN,372,25,STANDING,SITTING,,
k-NN,385,25,STANDING,SITTING,,
k-NN,395,25,STANDING,SITTING,,
k-NN,396,25,STANDING,SITTING,,
k-NN,397,25,STANDING,SITTING,,
k-NN,398,25,STANDING,SITTING,,
k-NN,439,25,LAYING,SITTING,,
k-NN,440,25,LAYING,SITTING,,
k-NN,441,25,LAYING,SITTING,,
k-NN,442,25,LAYING,SITTING,,
k-NN,443,25,LAYING,SITTING,,
k-NN,448,25,LAYING,SITTING,,
k-NN,450,25,LAYING,SITTING,,
k-NN,451,25,LAYING,SITTING,,
k-NN,453,25,LAYING,STANDING,,
k-NN,454,25,LAYING,SITTING,,
k-NN,506,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,507,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,508,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,509,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,510,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,511,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,512,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,513,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,514,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,515,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,516,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,517,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,518,25,WALKING_DOWNSTAIRS,WALKING,,
k-NN,519,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
k-NN,520,25,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,,
