Model,Noise Sigma,Macro-F1,Balanced Accuracy,Delta Macro-F1 vs sigma=0
k-NN,0.0,0.8443235875704587,0.8420742559654637,0.0
k-NN,0.1,0.8442941729056769,0.842155699465425,-2.9414664781790556e-05
k-NN,0.2,0.8493825019997329,0.8471869633604244,0.005058914429274197
k-NN,0.3,0.8448792020685681,0.8427197419210511,0.0005556144981094802
k-NN,0.5,0.8418722984323915,0.839668262732038,-0.0024512891380671364
SVM,0.0,0.8971298648661375,0.8936657613403356,0.0
SVM,0.1,0.8977252958134283,0.8941062618071877,0.0005954309472907537
SVM,0.2,0.888484476283308,0.8842364420636799,-0.008645388582829594
SVM,0.3,0.8846246737080438,0.880232025480605,-0.012505191158093787
SVM,0.5,0.8594102529701759,0.8537242228320198,-0.037719611895961624
MLP,0.0,0.8966157460880321,0.894957257219872,0.0
MLP,0.1,0.9018719438839337,0.9002253865276465,0.005256197795901585
MLP,0.2,0.8984702440211786,0.8966770041990367,0.001854497933146515
MLP,0.3,0.894901953717535,0.8929176035291623,-0.0017137923704970692
MLP,0.5,0.878702884494515,0.8759360513047635,-0.017912861593517126
