Model,Class,Precision,Recall,F1-score,Support
k-NN,WALKING,0.8563829787234043,0.9507874015748031,0.9011194029850746,508
k-NN,WALKING_UPSTAIRS,0.8035714285714286,0.9297520661157025,0.8620689655172413,484
k-NN,WALKING_DOWNSTAIRS,0.9901639344262295,0.6926605504587156,0.815114709851552,436
k-NN,SITTING,0.7899628252788105,0.78125,0.7855822550831792,544
k-NN,STANDING,0.7348703170028819,0.8732876712328768,0.7981220657276995,584
k-NN,LAYING,1.0,0.8247078464106845,0.9039341262580055,599
SVM,WALKING,0.974903474903475,0.9940944881889764,0.9844054580896686,508
SVM,WALKING_UPSTAIRS,0.9495412844036697,0.8553719008264463,0.9,484
SVM,WALKING_DOWNSTAIRS,0.9975903614457832,0.9495412844036697,0.972972972972973,436
SVM,SITTING,0.7492063492063492,0.8676470588235294,0.8040885860306644,544
SVM,STANDING,0.7609375,0.833904109589041,0.795751633986928,584
SVM,LAYING,1.0,0.8614357262103506,0.9255605381165919,599
MLP,WALKING,0.9402985074626866,0.9921259842519685,0.9655172413793104,508
MLP,WALKING_UPSTAIRS,0.90748031496063,0.9524793388429752,0.9294354838709677,484
MLP,WALKING_DOWNSTAIRS,0.9895833333333334,0.8715596330275229,0.926829268292683,436
MLP,SITTING,0.8082901554404145,0.8602941176470589,0.8334817453250223,544
MLP,STANDING,0.7672552166934189,0.8184931506849316,0.792046396023198,584
MLP,LAYING,0.9980952380952381,0.8747913188647746,0.9323843416370107,599
