Model,Subject ID,N Samples,N True Classes,Accuracy,Macro-F1
k-NN,9,288,6,0.8472222222222222,0.8463631179830533
k-NN,10,294,6,0.7278911564625851,0.7356412966120441
k-NN,13,327,6,0.9051987767584098,0.8961195316361116
k-NN,16,366,6,0.8169398907103825,0.8320209212582671
k-NN,18,364,6,0.8186813186813187,0.7611786063398966
k-NN,24,381,6,0.9448818897637795,0.9436141184728921
k-NN,25,409,6,0.78239608801956,0.7262257800167635
k-NN,28,382,6,0.7931937172774869,0.8201758896581319
k-NN,29,344,6,0.9593023255813954,0.9612736970631707
SVM,9,288,6,0.7708333333333334,0.7777520499206189
SVM,10,294,6,0.7006802721088435,0.7155489031405007
SVM,13,327,6,0.9908256880733946,0.9902319902319903
SVM,16,366,6,0.7103825136612022,0.7510011035670693
SVM,18,364,6,0.9807692307692307,0.9791880443076275
SVM,24,381,6,1.0,1.0
SVM,25,409,6,0.9657701711491442,0.9618918975055796
SVM,28,382,6,0.8743455497382199,0.8943716301272534
SVM,29,344,6,0.9563953488372093,0.9597423510466988
MLP,9,288,6,0.8333333333333334,0.8299343399359097
MLP,10,294,6,0.7278911564625851,0.7432642597304931
MLP,13,327,6,0.9847094801223242,0.983633902999402
MLP,16,366,6,0.8087431693989071,0.8412936708663087
MLP,18,364,6,0.9340659340659341,0.9231506686847123
MLP,24,381,6,0.9921259842519685,0.9917673438312754
MLP,25,409,6,0.9046454767726161,0.8924221385644606
MLP,28,382,6,0.856020942408377,0.8783959660217476
MLP,29,344,6,0.9534883720930233,0.957000343997248
