Model,True Class,Predicted Class,Count,Percent of True Class
k-NN,SITTING,STANDING,118,0.21691176470588236
k-NN,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,86,0.19724770642201836
k-NN,STANDING,SITTING,74,0.1267123287671233
k-NN,LAYING,STANDING,66,0.11018363939899833
k-NN,WALKING_DOWNSTAIRS,WALKING,48,0.11009174311926606
SVM,STANDING,SITTING,97,0.1660958904109589
SVM,LAYING,STANDING,83,0.13856427378964942
SVM,SITTING,STANDING,70,0.12867647058823528
SVM,WALKING_UPSTAIRS,SITTING,59,0.12190082644628099
SVM,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,18,0.04128440366972477
MLP,STANDING,SITTING,106,0.1815068493150685
MLP,SITTING,STANDING,74,0.13602941176470587
MLP,LAYING,STANDING,70,0.11686143572621036
MLP,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,43,0.09862385321100918
MLP,WALKING_UPSTAIRS,WALKING,20,0.04132231404958678
